Customer ID,Test Variable,Outcome,Days_in_between,State,Email_ID,Incoming_Phone,Contact_Phone,Dummy_State,Dummy_Email
94,0,0,200,1,0,1,1,,
650,0,0,200,1,0,1,1,,
824,0,0,200,1,0,1,1,,
969,0,0,200,1,0,1,1,,
1694,0,0,200,1,0,1,1,,
1998,0,0,200,1,1,1,1,,
2107,0,0,200,1,1,1,1,,
2806,0,0,200,1,0,1,1,,
3238,0,0,200,1,0,1,1,,
3602,0,0,200,1,1,1,1,,
4166,0,0,200,1,0,1,1,,
4192,0,0,200,1,1,1,1,,
4797,0,0,200,1,0,1,1,,
5034,0,0,200,1,0,1,1,,
5149,0,0,200,1,0,1,1,,
6411,0,0,200,1,0,1,1,,
7062,0,0,200,1,0,1,1,,
7264,0,0,200,1,0,1,1,,
7742,0,0,200,1,0,1,1,,
7915,0,0,200,1,0,1,1,,
28,1,0,200,1,0,1,1,,
479,1,0,200,1,0,1,1,,
592,1,0,200,1,0,1,1,,
1457,1,0,200,1,0,1,1,,
2170,1,0,200,1,0,1,1,,
2211,1,0,200,1,0,1,1,,
2325,1,0,200,1,0,1,1,,
2483,1,0,200,1,0,1,1,,
2790,1,0,200,1,0,1,1,,
2997,1,0,200,1,1,1,1,,
3177,1,0,200,1,1,1,1,,
3435,1,0,200,1,0,1,1,,
3834,1,0,200,1,0,1,1,,
4144,1,0,200,1,0,1,1,,
4158,1,0,200,1,0,1,1,,
4589,1,0,200,1,0,1,1,,
4899,1,0,200,1,0,1,1,,
5248,1,0,200,1,0,1,1,,
7232,1,0,200,1,0,1,1,,
7917,1,0,200,1,0,1,1,,
8320,1,0,200,1,0,1,1,,
8371,1,0,200,1,0,1,1,,
750,1,1,,1,0,1,1,,
7729,1,1,,1,0,1,1,,
177,0,0,200,1,0,1,1,,
358,0,0,200,1,0,1,1,,
419,0,0,200,1,0,1,1,,
672,0,0,200,1,0,1,1,,
933,0,0,200,1,0,1,1,,
1302,0,0,200,1,0,1,1,,
1348,0,0,200,1,0,1,1,,
1478,0,0,200,1,1,1,1,,
1610,0,0,200,1,0,1,1,,
2204,0,0,200,1,0,1,1,,
2233,0,0,200,1,0,1,1,,
2237,0,0,200,1,0,1,1,,
2574,0,0,200,1,0,1,1,,
2616,0,0,200,1,0,1,1,,
2639,0,0,200,1,0,1,1,,
2671,0,0,200,1,0,1,1,,
2911,0,0,200,1,1,1,1,,
3146,0,0,200,1,0,1,1,,
3369,0,0,200,1,0,1,1,,
3892,0,0,200,1,0,1,1,,
4053,0,0,200,1,1,1,1,,
4063,0,0,200,1,0,1,1,,
4119,0,0,200,1,0,1,1,,
4427,0,0,200,1,0,1,1,,
4709,0,0,200,1,0,1,1,,
4721,0,0,200,1,0,1,1,,
4952,0,0,200,1,1,1,1,,
5010,0,0,200,1,0,1,1,,
6419,0,0,200,1,1,1,1,,
6449,0,0,200,1,0,1,1,,
6602,0,0,200,1,0,1,1,,
6903,0,0,200,1,0,1,1,,
6909,0,0,200,1,0,1,1,,
6922,0,0,200,1,0,1,1,,
7063,0,0,200,1,0,1,1,,
7735,0,0,200,1,0,1,1,,
7882,0,0,200,1,1,1,1,,
8247,0,0,200,1,0,1,1,,
98,1,0,200,1,0,1,1,,
209,1,0,200,1,0,1,1,,
537,1,0,200,1,0,1,1,,
671,1,0,200,1,0,1,1,,
1055,1,0,200,1,0,1,1,,
1069,1,0,200,1,0,1,1,,
1089,1,0,200,1,1,1,1,,
1384,1,0,200,1,0,1,1,,
1482,1,0,200,1,0,1,1,,
1740,1,0,200,1,0,1,1,,
2365,1,0,200,1,0,1,1,,
2465,1,0,200,1,0,1,1,,
2626,1,0,200,1,0,1,1,,
2656,1,0,200,1,0,1,1,,
2776,1,0,200,1,1,1,1,,
3548,1,0,200,1,0,1,1,,
4086,1,0,200,1,0,1,1,,
4737,1,0,200,1,0,1,1,,
4741,1,0,200,1,0,1,1,,
4762,1,0,200,1,0,1,1,,
4794,1,0,200,1,1,1,1,,
5065,1,0,200,1,0,1,1,,
5973,1,0,200,1,0,1,1,,
6304,1,0,200,1,0,1,1,,
6417,1,0,200,1,0,1,1,,
6522,1,0,200,1,0,1,1,,
6918,1,0,200,1,0,1,1,,
7184,1,0,200,1,0,1,1,,
7814,1,0,200,1,0,1,1,,
8147,1,0,200,1,1,1,1,,
8167,1,0,200,1,0,1,1,,
8387,1,0,200,1,0,1,1,,
185,1,1,,1,0,1,1,,
8023,1,1,,1,0,1,1,,
223,0,0,200,1,0,1,1,,
585,0,0,200,1,0,1,1,,
603,0,0,200,1,0,1,1,,
879,0,0,200,1,0,1,1,,
1013,0,0,200,1,0,1,1,,
1115,0,0,200,1,1,1,1,,
1258,0,0,200,1,0,1,1,,
1267,0,0,200,1,0,1,1,,
1303,0,0,200,1,0,1,1,,
1615,0,0,200,1,0,1,1,,
1922,0,0,200,1,0,1,1,,
1990,0,0,200,1,1,1,1,,
2115,0,0,200,1,0,1,1,,
2370,0,0,200,1,0,1,1,,
2725,0,0,200,1,0,1,1,,
3218,0,0,200,1,0,1,1,,
3349,0,0,200,1,0,1,1,,
3455,0,0,200,1,0,1,1,,
3508,0,0,200,1,0,1,1,,
3510,0,0,200,1,0,1,1,,
3873,0,0,200,1,0,1,1,,
4007,0,0,200,1,0,1,1,,
4052,0,0,200,1,0,1,1,,
4365,0,0,200,1,0,1,1,,
4778,0,0,200,1,0,1,1,,
4862,0,0,200,1,1,1,1,,
6468,0,0,200,1,0,1,1,,
6603,0,0,200,1,0,1,1,,
6793,0,0,200,1,0,1,1,,
6954,0,0,200,1,1,1,1,,
7006,0,0,200,1,0,1,1,,
7092,0,0,200,1,0,1,1,,
7127,0,0,200,1,0,1,1,,
7235,0,0,200,1,0,1,1,,
7363,0,0,200,1,0,1,1,,
7685,0,0,200,1,0,1,1,,
7766,0,0,200,1,0,1,1,,
7806,0,0,200,1,0,1,1,,
7964,0,0,200,1,0,1,1,,
8382,0,0,200,1,1,1,1,,
71,1,0,200,1,0,1,1,,
245,1,0,200,1,0,1,1,,
483,1,0,200,1,1,1,1,,
1220,1,0,200,1,0,1,1,,
1235,1,0,200,1,0,1,1,,
1344,1,0,200,1,1,1,1,,
1431,1,0,200,1,1,1,1,,
2116,1,0,200,1,1,1,1,,
2134,1,0,200,1,0,1,1,,
2396,1,0,200,1,0,1,1,,
2586,1,0,200,1,1,1,1,,
2680,1,0,200,1,0,1,1,,
2731,1,0,200,1,0,1,1,,
2784,1,0,200,1,0,1,1,,
2869,1,0,200,1,0,1,1,,
2908,1,0,200,1,0,1,1,,
2930,1,0,200,1,0,1,1,,
3213,1,0,200,1,0,1,1,,
3235,1,0,200,1,0,1,1,,
4001,1,0,200,1,0,1,1,,
4246,1,0,200,1,0,1,1,,
4453,1,0,200,1,1,1,1,,
4693,1,0,200,1,1,1,1,,
4947,1,0,200,1,1,1,1,,
6509,1,0,200,1,0,1,1,,
6668,1,0,200,1,0,1,1,,
6945,1,0,200,1,0,1,1,,
7292,1,0,200,1,1,1,1,,
7305,1,0,200,1,0,1,1,,
7684,1,0,200,1,0,1,1,,
7756,1,0,200,1,0,1,1,,
7817,1,0,200,1,0,1,1,,
7701,0,1,,1,0,1,1,,
61,0,0,200,1,1,1,1,,
444,0,0,200,1,0,1,1,,
460,0,0,200,1,0,1,1,,
795,0,0,200,1,1,1,1,,
985,0,0,200,1,0,1,1,,
1199,0,0,200,1,1,1,1,,
1276,0,0,200,1,1,1,1,,
1290,0,0,200,1,0,1,1,,
2014,0,0,200,1,1,1,1,,
2332,0,0,200,1,0,1,1,,
2629,0,0,200,1,0,1,1,,
2875,0,0,200,1,1,1,1,,
2923,0,0,200,1,1,1,1,,
2934,0,0,200,1,0,1,1,,
3257,0,0,200,1,0,1,1,,
3329,0,0,200,1,1,1,1,,
3337,0,0,200,1,0,1,1,,
3596,0,0,200,1,0,1,1,,
3870,0,0,200,1,0,1,1,,
4318,0,0,200,1,0,1,1,,
4411,0,0,200,1,0,1,1,,
4614,0,0,200,1,0,1,1,,
4707,0,0,200,1,0,1,1,,
4768,0,0,200,1,0,1,1,,
5922,0,0,200,1,0,1,1,,
6000,0,0,200,1,0,1,1,,
6367,0,0,200,1,0,1,1,,
6564,0,0,200,1,1,1,1,,
6670,0,0,200,1,0,1,1,,
6805,0,0,200,1,0,1,1,,
7714,0,0,200,1,0,1,1,,
7732,0,0,200,1,0,1,1,,
7813,0,0,200,1,0,1,1,,
8370,0,0,200,1,1,1,1,,
405,1,0,200,1,1,1,1,,
758,1,0,200,1,0,1,1,,
770,1,0,200,1,0,1,1,,
773,1,0,200,1,0,1,1,,
804,1,0,200,1,0,1,1,,
866,1,0,200,1,1,1,1,,
1072,1,0,200,1,1,1,1,,
1869,1,0,200,1,1,1,1,,
1981,1,0,200,1,0,1,1,,
2111,1,0,200,1,0,1,1,,
2175,1,0,200,1,1,1,1,,
2178,1,0,200,1,0,1,1,,
2308,1,0,200,1,0,1,1,,
2319,1,0,200,1,0,1,1,,
2425,1,0,200,1,0,1,1,,
2560,1,0,200,1,0,1,1,,
2721,1,0,200,1,1,1,1,,
3111,1,0,200,1,0,1,1,,
3153,1,0,200,1,0,1,1,,
3267,1,0,200,1,0,1,1,,
3418,1,0,200,1,1,1,1,,
3561,1,0,200,1,1,1,1,,
3798,1,0,200,1,0,1,1,,
4054,1,0,200,1,0,1,1,,
4725,1,0,200,1,0,1,1,,
4870,1,0,200,1,0,1,1,,
4886,1,0,200,1,0,1,1,,
5126,1,0,200,1,0,1,1,,
6298,1,0,200,1,0,1,1,,
6581,1,0,200,1,1,1,1,,
6630,1,0,200,1,0,1,1,,
6788,1,0,200,1,1,1,1,,
6982,1,0,200,1,0,1,1,,
7137,1,0,200,1,0,1,1,,
7173,1,0,200,1,0,1,1,,
7194,1,0,200,1,0,1,1,,
7195,1,0,200,1,0,1,1,,
7763,1,0,200,1,0,1,1,,
7869,1,0,200,1,1,1,1,,
7938,1,0,200,1,0,1,1,,
8012,1,0,200,1,0,1,1,,
8336,1,0,200,1,0,1,1,,
492,1,1,,1,0,1,1,,
2606,1,1,,1,0,1,1,,
44,0,0,200,1,1,1,1,,
103,0,0,200,1,0,1,0,,
934,0,0,200,1,1,1,1,,
947,0,0,200,1,0,1,1,,
1375,0,0,200,1,0,1,1,,
1632,0,0,200,1,0,1,1,,
1710,0,0,200,1,0,1,1,,
1826,0,0,200,1,1,1,1,,
1888,0,0,200,1,0,1,1,,
2186,0,0,200,1,0,1,1,,
2455,0,0,200,1,0,1,1,,
2547,0,0,200,1,0,1,1,,
2608,0,0,200,1,1,1,1,,
2970,0,0,200,1,0,1,1,,
3217,0,0,200,1,1,1,1,,
3568,0,0,200,1,1,1,1,,
3876,0,0,200,1,1,1,1,,
3896,0,0,200,1,0,1,1,,
4375,0,0,200,1,0,1,1,,
4532,0,0,200,1,0,1,1,,
4636,0,0,200,1,1,1,1,,
4682,0,0,200,1,0,1,1,,
5267,0,0,200,1,0,1,1,,
6393,0,0,200,1,0,1,1,,
6794,0,0,200,1,1,1,1,,
6831,0,0,200,1,0,1,1,,
7028,0,0,200,1,0,1,1,,
7114,0,0,200,1,1,1,1,,
7803,0,0,200,1,0,1,1,,
7902,0,0,200,1,1,1,1,,
8282,0,0,200,1,0,1,1,,
315,1,0,200,1,1,1,1,,
415,1,0,200,1,0,1,1,,
919,1,0,200,1,0,1,1,,
921,1,0,200,1,0,1,1,,
941,1,0,200,1,0,1,1,,
1001,1,0,200,1,0,1,1,,
1029,1,0,200,1,0,1,1,,
1033,1,0,200,1,0,1,1,,
1111,1,0,200,1,0,1,1,,
1175,1,0,200,1,0,1,1,,
1345,1,0,200,1,1,1,1,,
1407,1,0,200,1,0,1,1,,
1751,1,0,200,1,0,1,1,,
1877,1,0,200,1,0,1,1,,
2016,1,0,200,1,0,1,1,,
2323,1,0,200,1,0,1,1,,
2472,1,0,200,1,0,1,1,,
2709,1,0,200,1,0,1,1,,
2795,1,0,200,1,0,1,1,,
3250,1,0,200,1,0,1,1,,
3476,1,0,200,1,0,1,1,,
3649,1,0,200,1,0,1,1,,
3878,1,0,200,1,0,1,1,,
3965,1,0,200,1,0,1,1,,
3983,1,0,200,1,0,1,1,,
4376,1,0,200,1,0,1,1,,
4841,1,0,200,1,0,1,1,,
5194,1,0,200,1,0,1,1,,
6571,1,0,200,1,0,1,1,,
6605,1,0,200,1,0,1,1,,
7225,1,0,200,1,0,1,1,,
7313,1,0,200,1,0,1,1,,
7745,1,0,200,1,1,1,1,,
7748,1,0,200,1,0,1,1,,
8183,1,0,200,1,0,1,1,,
8361,1,0,200,1,0,1,1,,
1002,1,1,,1,1,1,1,,
1837,1,1,,1,1,1,1,,
2257,1,1,,1,0,1,1,,
6777,1,1,,1,0,1,1,,
366,0,0,200,1,0,1,1,,
521,0,0,200,1,0,1,1,,
1123,0,0,200,1,1,1,1,,
1138,0,0,200,1,0,1,1,,
1380,0,0,200,1,0,1,1,,
1499,0,0,200,1,0,1,1,,
1569,0,0,200,1,0,1,1,,
1591,0,0,200,1,1,1,1,,
2157,0,0,200,1,0,1,1,,
2357,0,0,200,1,0,1,1,,
2596,0,0,200,1,1,1,1,,
3272,0,0,200,1,1,1,1,,
3534,0,0,200,1,0,1,1,,
